,Area Code,Off Gas Grid (Thousands),Proportion Off Gas Grid,Number of households in fuel poverty,Proportion of households fuel poor (%),Mains gas only,Mains gas only (%),Tank or bottled gas only,Tank or bottled gas only (%),Gas only,Gas only (%),Electric only,Electric only (%),Oil only,Oil only (%),All Houses,All Houses (%),All Houses - Detached or Semi,All Houses - Detached or Semi (%),Houses - Detached,Houses - Detached (%),Houses - Semi-Detached,Houses - Semi-Detached (%),Houses - Terraced,Houses - Terraced (%),Non-House Accommodation,Non-House Accommodation (%),Tenure - Owned,Tenure - Owned (%),Tenure - Social,Tenure - Social (%),Tenure - Private Rent,Tenure - Private Rent (%),LA Name 2021,Proportion of homes needing loft insulation,Proportion of homes needing cavity wall insulation,Number of homes needing loft insulation,Number of homes needing cavity wall insulation,LA Name 2019,Income - Average score ,Employment - Average score ,Average Index of Multiple Deprivation (IMD) Decile,Max Index of Multiple Deprivation (IMD) Decile
36,E07000028,7.62,0.142270351008215,,,36477.0,71.99644725155433,636.0,1.2553044508043028,37113.0,73.25175170235863,3200.0,6.315997236751208,2992.0,5.90545741636238,44839.0,88.50617820062374,31201.0,61.58659350203308,12643.0,24.955588014685564,18558.0,36.631005487347515,13638.0,26.91958469859066,5722.0,11.294461331964786,34466.0,68.02992321812764,7272.0,14.353670331405564,7687.0,15.172808558514102,Carlisle,0.176582636387988,0.138992231911664,9600.0,7500.0,Carlisle,0.116,0.107,5.176470588235294,1.0
37,E07000029,4.18,0.123668639053254,,,23163.0,75.22897044494967,509.0,1.65313413445924,23672.0,76.88210457940889,1499.0,4.8684637869438125,1149.0,3.7317310815199742,28497.0,92.55578290948066,19401.0,63.01276429893793,7572.0,24.5931988697262,11829.0,38.41956542921173,9096.0,29.543018610542727,2048.0,6.651726265874176,21935.0,71.24297638767092,5429.0,17.63292084835493,2726.0,8.853811426158693,Copeland,0.219836772885585,0.299267037479857,7400.0,10100.0,Copeland,0.13,0.128,4.469387755102041,1.0
38,E07000030,15.4,0.565968393972804,,,9422.0,38.28058343151993,992.0,4.0303904440742695,10414.0,42.3109738755942,1992.0,8.093284036891074,6074.0,24.67801568276927,22110.0,89.83422720624085,17265.0,70.14870794734276,9642.0,39.17601170160897,7623.0,30.97269624573379,4845.0,19.685519258898097,2367.0,9.61725987323257,17619.0,71.58412221183927,2542.0,10.327875512940315,3522.0,14.309511233900785,Eden,0.24068502661421,0.12364036102754,6500.0,3400.0,Eden,0.07,0.061,6.111111111111111,3.0
39,E07000031,11.99,0.222986795610935,,,31029.0,65.11310697947707,1012.0,2.1236412473244637,32041.0,67.23674822680152,3665.0,7.69085491249423,3709.0,7.783187140638772,40805.0,85.62225905952955,29763.0,62.45252533730616,15108.0,31.70153387749963,14655.0,30.75099145980653,11042.0,23.169733722223388,6660.0,13.974862034958138,34543.0,72.4825314224563,5112.0,10.726650859265167,6525.0,13.691587804519797,South Lakeland,0.201941294779491,0.155216136648497,11300.0,8700.0,South Lakeland,0.063,0.061,7.271186440677966,4.0
40,E07000117,1.04,0.0247442303116821,7972.0,19.587704857613208,32630.0,81.83687800963082,152.0,0.3812199036918138,32782.0,82.21809791332262,1746.0,4.379012841091493,166.0,0.4163322632423756,36151.0,90.6676364365971,17571.0,44.06851926163724,5650.0,14.170345104333867,11921.0,29.89817415730337,18580.0,46.59911717495987,3620.0,9.079052969502408,23927.0,60.01103558977703,6209.0,15.57272202854205,8621.0,21.622231697223544,Burnley,0.187476755587112,0.239544240457112,7700.0,9900.0,Burnley,0.203,0.163,3.216666666666667,1.0
41,E07000118,2.99,0.0573346116970278,5690.0,11.119362151176425,40767.0,81.32580593680179,275.0,0.5485955952760931,41042.0,81.87440153207788,2256.0,4.5004787743376955,613.0,1.2228694541972551,45249.0,90.25971435410516,32566.0,64.96050426873056,16018.0,31.951647650203462,16548.0,33.00885661852709,12683.0,25.29921008537461,4687.0,9.349317801005345,36514.0,72.83280807436071,6637.0,13.238520764351538,6056.0,12.079626600710098,Chorley,0.16614304195158,0.217797080022177,8700.0,11400.0,Chorley,0.102,0.091,6.424242424242424,1.0
42,E07000119,4.34,0.108229426433915,4799.0,12.502930985071517,29372.0,78.10248092110511,393.0,1.045018214694073,29765.0,79.14749913579918,3672.0,9.76413965485149,439.0,1.167335868322387,29390.0,78.15450073128574,23128.0,61.50245977928467,11067.0,29.429597128041486,12061.0,32.072862651243184,6262.0,16.652040952001062,7583.0,20.16487169259407,27232.0,72.4139764931128,3134.0,8.333776525022603,6239.0,16.59043769611232,Fylde,0.190281030444965,0.301558840749415,7700.0,12200.0,Fylde,0.096,0.096,6.470588235294118,1.0
43,E07000120,0.84,0.0225442834138486,6614.0,18.610540532935648,28788.0,82.74315934697631,167.0,0.47999540124166473,28955.0,83.22315474821798,1270.0,3.6502644286042765,94.0,0.2701770521959071,31463.0,90.43690715722909,13927.0,40.031618281115264,4409.0,12.673181948835872,9518.0,27.35843633227939,17536.0,50.40528887611383,3191.0,9.172175912618568,22024.0,63.30554757114113,4711.0,13.541247484909459,7088.0,20.373670594998565,Hyndburn,0.215994361759463,0.247087600016583,8000.0,9200.0,Hyndburn,0.182,0.151,3.519230769230769,1.0
44,E07000121,9.34,0.141772920461445,9446.0,15.406948295547219,45764.0,76.30385487528345,697.0,1.1621315192743764,46461.0,77.46598639455783,4487.0,7.481325863678805,1463.0,2.439309056956116,49782.0,82.99766588862954,34480.0,57.48582860953652,11657.0,19.434811603867956,22823.0,38.051017005668555,15302.0,25.51183727909303,9549.0,15.920306768922973,40754.0,67.94824769081997,6153.0,10.258761545900164,11460.0,19.107005902164126,Lancaster,0.208012931532156,0.221660316360697,13400.0,14200.0,Lancaster,0.129,0.106,5.022471910112359,1.0
45,E07000122,1.34,0.0327868852459016,7704.0,19.81226694097981,30546.0,80.24272992355583,309.0,0.8117266924107495,30855.0,81.05445661596659,1218.0,3.1996217195996532,582.0,1.5288832847348097,34898.0,91.67761256764567,14834.0,38.969158829401565,5516.0,14.49062155204119,9318.0,24.478537277360374,20064.0,52.708453738244096,3048.0,8.007145484159093,24803.0,65.15788367572112,4491.0,11.797929911206852,7622.0,20.02311774286765,Pendle,0.202010901591043,0.232358573954037,8200.0,9400.0,Pendle,0.168,0.132,3.807017543859649,1.0
